                                                                                
                                                                                
Sample,aX,aY,az,Temp,gX,gY,gz                                                   
230,1072,-9856,11820,-1824,-566,-203,-125                                       
231,1188,-9908,11804,-1808,-555,-212,-118                                       
232,1080,-9884,11820,-1824,-539,-204,-96                                        
233,1144,-10024,11752,-1792,-489,-208,-98                                       
234,1116,-9876,11896,-1856,-555,-207,-106                                       
235,1108,-9952,11768,-1840,-511,-200,-80                                        
236,1044,-9968,11876,-1840,-534,-234,-113                                       
237,1132,-9968,11812,-1792,-537,-171,-116                                       
238,1244,-9928,11896,-1824,-519,-207,-111                                       
239,1048,-9984,11680,-1808,-598,-203,-142                                       
240,1032,-9928,11848,-1808,-562,-220,-100                                       
241,1136,-9832,11724,-1824,-589,-136,-93                                        
242,1108,-9896,11852,-1792,-447,-158,-68                                        
243,1080,-9960,11836,-1856,-500,-150,-82                                        
244,1120,-10036,11852,-1808,-443,-182,-69                                       
245,1192,-9876,11944,-1776,-524,-144,-63                                        
246,1100,-9820,11760,-1808,-462,-164,-66                                        
247,1028,-9928,11804,-1824,-445,-197,-101                                       
248,1012,-9904,12052,-1824,-581,-177,-108                                       
249,1108,-10036,11912,-1840,-496,-179,-93                                       
250,1100,-9884,11988,-1840,-509,-155,-97                                        
251,1208,-9884,11852,-1808,-571,-186,-111                                       
252,1200,-9936,11896,-1824,-495,-197,-88                                        
253,1120,-9936,11752,-1856,-537,-186,-116                                       
254,1080,-9884,11884,-1840,-515,-217,-99                                        
255,1116,-9908,11988,-1808,-524,-180,-105                                       
256,1048,-10048,11916,-1792,-453,-165,-80                                       
257,1176,-9744,11904,-1856,-517,-199,-117                                       
258,1232,-9932,11676,-1840,-571,-174,-133                                       
259,1184,-9936,12032,-1824,-497,-150,-93                                        
260,1096,-10020,11752,-1824,-466,-147,-67                                       
261,1088,-9868,11856,-1824,-483,-170,-75                                        
262,1044,-9904,11832,-1808,-524,-180,-89                                        
263,1048,-9868,11912,-1808,-486,-177,-77                                        
264,1096,-9992,11880,-1808,-545,-161,-116                                       
265,1096,-9908,11880,-1808,-409,-166,-72                                        
266,1100,-9848,11932,-1824,-534,-196,-114                                       
267,1124,-9952,11800,-1792,-500,-185,-96                                        
268,1148,-9956,11876,-1824,-506,-185,-84                                        
269,1080,-9852,11736,-1824,-468,-157,-66                                        
270,1044,-9876,11940,-1824,-486,-162,-52                                        
271,1116,-9840,11808,-1824,-560,-171,-117                                       
272,1092,-9928,11924,-1840,-505,-172,-72                                        
273,1060,-9820,11992,-1808,-541,-175,-98                                        
274,1104,-9912,11832,-1808,-466,-114,-63                                        
275,960,-9828,11928,-1840,-481,-230,-99                                         
276,1096,-9928,11860,-1808,-584,-181,-110                                       
277,1112,-9900,11760,-1808,-472,-186,-71                                        
278,1144,-9880,11872,-1808,-525,-148,-94                                        
279,1124,-9836,11812,-1840,-465,-195,-91                                        
280,1148,-9836,11832,-1824,-510,-183,-76                                        
281,1120,-9852,11936,-1792,-510,-200,-92                                        
282,1076,-9904,11740,-1792,-535,-213,-103                                       
283,1096,-9912,11816,-1792,-474,-198,-94                                        
284,1080,-9832,11880,-1824,-528,-220,-120                                       
285,1124,-9872,11784,-1808,-497,-235,-115                                       
286,1216,-9784,11860,-1776,-564,-232,-109                                       
287,1120,-9844,11940,-1856,-476,-238,-126                                       
288,1112,-9856,11860,-1808,-562,-198,-98                                        
289,1072,-9996,11824,-1808,-473,-209,-95                                        
290,968,-9816,11784,-1840,-495,-201,-104                                        
291,952,-10000,11884,-1808,-543,-170,-120                                       
292,1064,-9976,11920,-1792,-493,-217,-151                                       
293,1468,-9980,11972,-1808,-80,-578,-224                                        
294,1260,-9464,11936,-1808,-794,-309,-133                                       
295,1108,-10056,11876,-1808,-790,-378,-308                                      
296,1064,-9360,11932,-1808,-909,-453,-428                                       
297,1332,-10384,11776,-1840,-839,-547,-606                                      
298,1324,-10128,11840,-1792,-1410,-837,-867                                     
299,1332,-10920,11444,-1824,-5618,-722,-323                                     
300,1400,-11444,11424,-1808,-7362,289,-395                                      
301,924,-11900,11040,-1856,-6681,766,849                                        
302,1132,-11536,11584,-1792,-2611,1603,-1236                                    
303,1544,-12128,10632,-1824,-5219,2096,-9056                                    
304,2428,-10756,10392,-1824,-8275,2969,-8417                                    
305,2568,-13124,7964,-1824,-9015,3050,-7830                                     
